"name","source","type","year"
"M4A4 | Zirka","Operation Bravo Case","StatTrak",2013
"USP-S | Overgrowth","Operation Bravo Case","StatTrak",2013
"G3SG1 | Demeter","Operation Bravo Case","StatTrak",2013
"UMP-45 | Bone Pile","Operation Bravo Case","StatTrak",2013
"Galil AR | Shattered","Operation Bravo Case","StatTrak",2013
"AWP - Pit Viper","The Italy Collection","Souvenir",2013
"M4A1-S - Boreal Forest","The Italy Collection","Souvenir",2013
"Nova | Tempest","Operation Bravo Case","StatTrak",2013
"Dual Berettas | Black Limba","Operation Bravo Case","StatTrak",2013
"SG 553 | Wave Spray","Operation Bravo Case","StatTrak",2013
"P90 | Death by Kitty","eSports 2013 Case","StatTrak",2013
"G3SG1 - Jungle Dashed","The Lake collection","Souvenir",2013
"SG 553 - Waves Perforated","The Lake collection","Souvenir",2013
"Galil AR - Sage Spray","The Lake collection","Souvenir",2013
"AUG - Storm","The Lake collection","Souvenir",2013
"XM1014 - Blue Spruce","The Lake collection","Souvenir",2013
"AWP | BOOM","eSports 2013 Case","StatTrak",2013
"AK-47 | Red Laminate","eSports 2013 Case","StatTrak",2013
"P250 | Splash","eSports 2013 Case","StatTrak",2013
"Sawed-Off | Orange DDPAT","eSports 2013 Case","StatTrak",2013
"Galil AR | Orange DDPAT","eSports 2013 Case","StatTrak",2013
"FAMAS | Doomkitty","eSports 2013 Case","StatTrak",2013
"MAG-7 | Memento","eSports 2013 Case","StatTrak",2013
"M4A4 | Faded Zebra","eSports 2013 Case","StatTrak",2013
"AWP | Lightning Strike","CS:GO Weapon Case","StatTrak",2013
"Desert Eagle | Hypnotic","CS:GO Weapon Case","StatTrak",2013
"AK-47 | Case Hardened","CS:GO Weapon Case","StatTrak",2013
"P250 - Boreal Forest","The Lake collection","Souvenir",2013
"XM1014 - Blue Steel","The Lake collection","Souvenir",2013
"FAMAS - Cyanospatter","The Lake collection","Souvenir",2013
"PP-Bizon - Night Ops","The Lake collection","Souvenir",2013
"Desert Eagle - Mudder","The Lake collection","Souvenir",2013
"SG 553 - Anodized Navy","The Lake collection","Souvenir",2013
"P90 - Teardown","The Lake collection","Souvenir",2013
"USP-S - Night Ops","The Lake collection","Souvenir",2013
"Dual Berettas - Cobalt Quartz","The Lake collection","Souvenir",2013
"AWP - Safari Mesh","The Lake collection","Souvenir",2013
"M4A1-S | Dark Water","CS:GO Weapon Case","StatTrak",2013
"USP-S | Dark Water","CS:GO Weapon Case","StatTrak",2013
"Glock-18 | Dragon Tattoo","CS:GO Weapon Case","StatTrak",2013
"SG 553 | Ultraviolet","CS:GO Weapon Case","StatTrak",2013
"AUG | Wings","CS:GO Weapon Case","StatTrak",2013
"Dual Berettas - Demolition","The Vertigo Collection","Souvenir",2013
"AK-47 - Black Laminate","The Vertigo Collection","Souvenir",2013
"P90 - Glacier Mesh","The Vertigo Collection","Souvenir",2013
"PP-Bizon - Carbon Fiber","The Vertigo Collection","Souvenir",2013
"MAC-10 - Urban DDPAT","The Vertigo Collection","Souvenir",2013
"XM1014 - Urban Perforated","The Vertigo Collection","Souvenir",2013
"SCAR-20 - Carbon Fiber","The Train Collection","Souvenir",2013
"Tec-9 - Red Quartz","The Train Collection","Souvenir",2013
"Desert Eagle - Urban Rubble","The Train Collection","Souvenir",2013
"Sawed-Off - Amber Fade","The Train Collection","Souvenir",2013
"P250 - Metallic DDPAT","The Train Collection","Souvenir",2013
"MAG-7 - Metallic DDPAT","The Train Collection","Souvenir",2013
"P90 - Ash Wood","The Train Collection","Souvenir",2013
"MAC-10 - Candy Apple","The Train Collection","Souvenir",2013
"M4A4 - Urban DDPAT","The Train Collection","Souvenir",2013
"UMP-45 - Urban DDPAT","The Train Collection","Souvenir",2013
"Dual Berettas - Colony","The Train Collection","Souvenir",2013
"G3SG1 - Polar Camo","The Train Collection","Souvenir",2013
"Five-SeveN - Forest Night","The Train Collection","Souvenir",2013
"Nova - Polar Mesh","The Train Collection","Souvenir",2013
"PP-Bizon - Urban Dashed","The Train Collection","Souvenir",2013
"M249 - Gator Mesh","The Safehouse Collection","only standard",2013
"M4A1-S - Nitro","The Safehouse Collection","only standard",2013
"SSG 08 - Acid Fade","The Safehouse Collection","only standard",2013
"Five-SeveN - Silver Quartz","The Safehouse Collection","only standard",2013
"FAMAS - Teardown","The Safehouse Collection","only standard",2013
"G3SG1 - VariCamo","The Safehouse Collection","only standard",2013
"XM1014 - Grassland","The Militia Collection","only standard",2013
"MAC-10 - Tornado","The Militia Collection","only standard",2013
"PP-Bizon - Forest Leaves","The Militia Collection","only standard",2013
"P2000 - Grassland Leaves","The Militia Collection","only standard",2013
"Nova - Modern Hunter","The Militia Collection","only standard",2013
"Nova - Blaze Orange","The Militia Collection","only standard",2013
"P250 - Modern Hunter","The Militia Collection","only standard",2013
"XM1014 - Blaze Orange","The Militia Collection","only standard",2013
"PP-Bizon - Modern Hunter","The Militia Collection","only standard",2013
"SCAR-20 - Splash Jam","The Militia Collection","only standard",2013
"M4A4 - Modern Hunter","The Militia Collection","only standard",2013
"Galil AR - VariCamo","The Safehouse Collection","only standard",2013
"USP-S - Forest Leaves","The Safehouse Collection","only standard",2013
"AUG - Condemned","The Safehouse Collection","only standard",2013
"MP9 - Orange Peel","The Safehouse Collection","only standard",2013
"SCAR-20 - Contractor","The Safehouse Collection","only standard",2013
"SSG 08 - Blue Spruce","The Safehouse Collection","only standard",2013
"Tec-9 - Army Mesh","The Safehouse Collection","only standard",2013
"MP7 - Army Recon","The Safehouse Collection","only standard",2013
"Dual Berettas - Contractor","The Safehouse Collection","only standard",2013
"MP7 - Whiteout","The Office Collection","only standard",2013
"P2000 - Silver","The Office Collection","only standard",2013
"M249 - Blizzard Marbleized","The Office Collection","only standard",2013
"G3SG1 - Arctic Camo","The Office Collection","only standard",2013
"Galil AR - Winter Forest","The Office Collection","only standard",2013
"FAMAS - Contrast Spray","The Office Collection","only standard",2013
"Tec-9 - Nuclear Threat","The Nuke Collection","Souvenir",2013
"P250 - Nuclear Threat","The Nuke Collection","Souvenir",2013
"M4A4 - Radiation Hazard","The Nuke Collection","Souvenir",2013
"XM1014 - Fallout Warning","The Nuke Collection","Souvenir",2013
"UMP-45 - Fallout Warning","The Nuke Collection","Souvenir",2013
"P90 - Fallout Warning","The Nuke Collection","Souvenir",2013
"PP-Bizon - Irradiated Alert","The Nuke Collection","Souvenir",2013
"Sawed-Off - Irradiated Alert","The Nuke Collection","Souvenir",2013
"MAG-7 - Irradiated Alert","The Nuke Collection","Souvenir",2013
"SSG 08 - Tropical Storm","The Mirage collection","Souvenir",2013
"MAG-7 - Bulldozer","The Mirage collection","Souvenir",2013
"MAC-10 - Amber Fade","The Mirage collection","Souvenir",2013
"UMP-45 - Blaze","The Mirage collection","Souvenir",2013
"MP9 - Hot Rod","The Mirage collection","Souvenir",2013
"Negev - CaliCamo","The Mirage collection","Souvenir",2013
"SG 553 - Gator Mesh","The Mirage collection","Souvenir",2013
"Glock-18 - Groundwater","The Mirage collection","Souvenir",2013
"MP7 - Orange Peel","The Mirage collection","Souvenir",2013
"Galil AR - Hunting Blind","The Mirage collection","Souvenir",2013
"P90 - Scorched","The Mirage collection","Souvenir",2013
"G3SG1 - Safari Mesh","The Mirage collection","Souvenir",2013
"AUG - Colony","The Mirage collection","Souvenir",2013
"Five-SeveN - Contractor","The Mirage collection","Souvenir",2013
"P250 - Bone Mask","The Mirage collection","Souvenir",2013
"Glock-18 - Brass","The Dust Collection","only standard",2013
"FAMAS - Spitfire","The Alpha Collection","only standard",2013
"SCAR-20 - Emerald","The Alpha Collection","only standard",2013
"Sawed-Off - Mosaico","The Alpha Collection","only standard",2013
"Tec-9 | Blue Titanium","CS:GO Weapon Case 2","StatTrak",2013
"M4A1-S | Blood Tiger","CS:GO Weapon Case 2","StatTrak",2013
"FAMAS | Hexane","CS:GO Weapon Case 2","StatTrak",2013
"P250 | Hive","CS:GO Weapon Case 2","StatTrak",2013
"SCAR-20 | Crimson Web","CS:GO Weapon Case 2","StatTrak",2013
"Five-SeveN | Case Hardened","CS:GO Weapon Case 2","StatTrak",2013
"MP9 | Hypnotic","CS:GO Weapon Case 2","StatTrak",2013
"Nova | Graphite","CS:GO Weapon Case 2","StatTrak",2013
"Dual Berettas | Hemoglobin","CS:GO Weapon Case 2","StatTrak",2013
"P90 | Cold Blooded","CS:GO Weapon Case 2","StatTrak",2013
"USP-S | Serum","CS:GO Weapon Case 2","StatTrak",2013
"SSG 08 | Blood in the Water","CS:GO Weapon Case 2","StatTrak",2013
"SG 553 - Tornado","The Assault Collection","only standard",2013
"UMP-45 - Caramel","The Assault Collection","only standard",2013
"Galil AR | Blue Titanium","eSports 2013 Winter Case","StatTrak",2013
"Five-SeveN | Nightshade","eSports 2013 Winter Case","StatTrak",2013
"PP-Bizon | Water Sigil","eSports 2013 Winter Case","StatTrak",2013
"Nova | Ghost Camo","eSports 2013 Winter Case","StatTrak",2013
"G3SG1 | Azure Zebra","eSports 2013 Winter Case","StatTrak",2013
"P250 | Steel Disruption","eSports 2013 Winter Case","StatTrak",2013
"Nova - Predator","The Dust 2 Collection","Souvenir",2013
"MP9 - Sand Dashed","The Dust 2 Collection","Souvenir",2013
"P90 - Sand Spray","The Dust 2 Collection","Souvenir",2013
"SCAR-20 - Sand Mesh","The Dust 2 Collection","Souvenir",2013
"P250 - Sand Dune","The Dust 2 Collection","Souvenir",2013
"G3SG1 - Desert Storm","The Dust 2 Collection","Souvenir",2013
"Tec-9 - VariCamo","The Dust 2 Collection","Souvenir",2013
"MAC-10 - Palm","The Dust 2 Collection","Souvenir",2013
"AK-47 | Blue Laminate","eSports 2013 Winter Case","StatTrak",2013
"P90 | Blind Spot","eSports 2013 Winter Case","StatTrak",2013
"FAMAS | Afterimage","eSports 2013 Winter Case","StatTrak",2013
"AWP | Electric Hive","eSports 2013 Winter Case","StatTrak",2013
"Desert Eagle | Cobalt Disruption","eSports 2013 Winter Case","StatTrak",2013
"Five-SeveN - Orange Peel","The Dust 2 Collection","Souvenir",2013
"Sawed-Off - Snake Camo","The Dust 2 Collection","Souvenir",2013
"M4A1-S - VariCamo","The Dust 2 Collection","Souvenir",2013
"PP-Bizon - Brass","The Dust 2 Collection","Souvenir",2013
"SG 553 - Damascus Steel","The Dust 2 Collection","Souvenir",2013
"P2000 - Amber Fade","The Dust 2 Collection","Souvenir",2013
"R8 Revolver - Amber Fade","The Dust 2 Collection","Souvenir",2013
"AK-47 - Safari Mesh","The Dust 2 Collection","Souvenir",2013
"M4A4 | X-Ray","eSports 2013 Winter Case","StatTrak",2013
"Five-SeveN - Candy Apple","The Assault Collection","only standard",2013
"AUG - Hot Rod","The Assault Collection","only standard",2013
"Negev - Anodized Navy","The Assault Collection","only standard",2013
"MP9 - Bulldozer","The Assault Collection","only standard",2013
"Glock-18 - Fade","The Assault Collection","only standard",2013
"Galil AR | Sandstorm","Winter Offensive Weapon Case","StatTrak",2013
"Five-SeveN | Kami","Winter Offensive Weapon Case","StatTrak",2013
"M249 | Magma","Winter Offensive Weapon Case","StatTrak",2013
"PP-Bizon | Cobalt Halftone","Winter Offensive Weapon Case","StatTrak",2013
"FAMAS | Pulse","Winter Offensive Weapon Case","StatTrak",2013
"Dual Berettas | Marina","Winter Offensive Weapon Case","StatTrak",2013
"MP9 | Rose Iron","Winter Offensive Weapon Case","StatTrak",2013
"Nova | Rising Skull","Winter Offensive Weapon Case","StatTrak",2013
"MAG-7 - Sand Dune","The Inferno Collection","Souvenir",2013
"Nova - Walnut","The Inferno Collection","Souvenir",2013
"P250 - Gunsmoke","The Inferno Collection","Souvenir",2013
"M4A4 - Tornado","The Inferno Collection","Souvenir",2013
"Dual Berettas - Anodized Navy","The Inferno Collection","Souvenir",2013
"M4A1-S | Guardian","Winter Offensive Weapon Case","StatTrak",2013
"P250 | Mehndi","Winter Offensive Weapon Case","StatTrak",2013
"AWP | Redline","Winter Offensive Weapon Case","StatTrak",2013
"M4A4 | Asiimov","Winter Offensive Weapon Case","StatTrak",2013
"Sawed-Off | The Kraken","Winter Offensive Weapon Case","StatTrak",2013
"Nova - Forest Leaves","The Aztec Collection","only standard",2013
"Five-SeveN - Jungle","The Aztec Collection","only standard",2013
"SSG 08 - Lichen Dashed","The Aztec Collection","only standard",2013
"AK-47 - Jungle Spray","The Aztec Collection","only standard",2013
"M4A4 - Jungle Tiger","The Aztec Collection","only standard",2013
"Tec-9 - Ossified","The Aztec Collection","only standard",2013
"M4A4 - Desert Storm","The Dust Collection","only standard",2013
"Tec-9 - Tornado","The Alpha Collection","only standard",2013
"MP9 - Dry Season","The Alpha Collection","only standard",2013
"Five-SeveN - Anodized Gunmetal","The Alpha Collection","only standard",2013
"XM1014 - Jungle","The Alpha Collection","only standard",2013
"MP7 - Groundwater","The Alpha Collection","only standard",2013
"Tec-9 - Brass","The Inferno Collection","Souvenir",2013
"Glock-18 - Sand Dune","The Alpha Collection","only standard",2013
"SSG 08 - Mayan Dreams","The Alpha Collection","only standard",2013
"Negev - Palm","The Alpha Collection","only standard",2013
"P250 - Facets","The Alpha Collection","only standard",2013
"AUG - Anodized Navy","The Alpha Collection","only standard",2013
"MAG-7 - Hazard","The Alpha Collection","only standard",2013
"PP-Bizon - Rust Coat","The Alpha Collection","only standard",2013
"SCAR-20 - Palm","The Dust Collection","only standard",2013
"AK-47 - Predator","The Dust Collection","only standard",2013
"AWP - Snake Camo","The Dust Collection","only standard",2013
"AUG - Copperhead","The Dust Collection","only standard",2013
"Sawed-Off - Copper","The Dust Collection","only standard",2013
"Desert Eagle - Blaze","The Dust Collection","only standard",2013
"P2000 - Scorpion","The Dust Collection","only standard",2013
"PP-Bizon - Sand Dashed","The Italy Collection","Souvenir",2013
"Nova - Sand Dune","The Italy Collection","Souvenir",2013
"FAMAS - Colony","The Italy Collection","Souvenir",2013
